reactions,mapped_rxn,id
Brc1cccc2c1oc1c(Br)cccc12.CCCCOCCCC.Clc1nc(-c2ccccc2)nc(-c2ccccc2)n1>>Brc1cccc2c1oc1c(-c3nc(-c4ccccc4)nc(-c4ccccc4)n3)cccc12,[CH2:36]([CH2:37][O:38][CH2:39][CH2:40][CH2:41][CH3:42])[CH2:35][CH3:34].[CH:4]1=[C:5]2[C:6](=[C:1]([CH:2]=[CH:3]1)[Br:33])[O:7][C:8]3=[C:9]2[CH:10]=[CH:11][CH:12]=[C:13]3[Br:14].[CH:26]1=[CH:25][CH:24]=[CH:23][CH:22]=[C:21]1[C:19]=2[N:18]=[C:17]([N:16]=[C:15]([Cl:43])[N:20]=2)[C:27]3=[CH:32][CH:31]=[CH:30][CH:29]=[CH:28]3>>[CH:10]=1[CH:11]=[CH:12][C:13](=[C:8]2[C:9]=1[C:5]=3[CH:4]=[CH:3][CH:2]=[C:1]([C:15]4=[N:16][C:17](=[N:18][C:19]([C:21]5=[CH:22][CH:23]=[CH:24][CH:25]=[CH:26]5)=[N:20]4)[C:27]=6[CH:28]=[CH:29][CH:30]=[CH:31][CH:32]=6)[C:6]=3[O:7]2)[Br:14],Golden_1480
C1CCNC1.CN1CCC(=O)CC1.O=[N+]([O-])c1ccc2[nH]ccc2c1>>CN1CC=C(c2c[nH]c3ccc([N+](=O)[O-])cc23)CC1,[CH:8]1=[CH:7][C:6]=2[C:10](=[CH:11][CH:12]=[C:4]([N+:1]([O-:3])=[O:2])[CH:5]=2)[NH:9]1.[CH2:22]1[CH2:21][CH2:20][CH2:24][NH:23]1.[CH2:16]1[CH2:15][N:14]([CH2:19][CH2:18][C:17]1=[O:25])[CH3:13]>>[N+:1]([O-:3])([C:4]=1[CH:12]=[CH:11][C:10]2=[C:6]([C:7]([C:17]=3[CH2:18][CH2:19][N:14]([CH3:13])[CH2:15][CH:16]=3)=[CH:8][NH:9]2)[CH:5]=1)=[O:2],Golden_1481
Cl.O.O=C1CCNCC1.O=[N+]([O-])c1ccc2cc[nH]c2c1>>O=[N+]([O-])c1ccc2c(C3=CCNCC3)c[nH]c2c1,[CH:9]1=[CH:8][C:7]2=[CH:6][CH:5]=[C:4]([CH:12]=[C:11]2[NH:10]1)[N+:1]([O-:3])=[O:2].[CH2:18]1[CH2:17][C:16]([CH2:15][CH2:14][NH:13]1)=[O:21].[ClH:20].[OH2:19]>>[N+:1]([O-:3])([C:4]1=[CH:12][C:11]=2[NH:10][CH:9]=[C:8]([C:7]=2[CH:6]=[CH:5]1)[C:16]=3[CH2:17][CH2:18][NH:13][CH2:14][CH:15]=3)=[O:2],Golden_1482
CN1CCC(=O)CC1.CS(=O)(=O)Nc1ccc2[nH]ccc2c1.[K+].[OH-]>>CN1CC=C(c2c[nH]c3ccc(NS(C)(=O)=O)cc23)CC1,[CH2:18]1[CH2:17][N:16]([CH2:21][CH2:20][C:19]1=[O:24])[CH3:15].[O:3]=[S:2](=[O:4])([CH3:1])[NH:5][C:6]1=[CH:14][CH:13]=[C:12]2[NH:11][CH:10]=[CH:9][C:8]2=[CH:7]1.[K+:23].[OH-:22]>>[O:3]=[S:2](=[O:4])([CH3:1])[NH:5][C:6]1=[CH:7][C:8]=2[C:9](=[CH:10][NH:11][C:12]=2[CH:13]=[CH:14]1)[C:19]=3[CH2:20][CH2:21][N:16]([CH2:17][CH:18]=3)[CH3:15],Golden_1483
CCCCP(CCCC)CCCC.COC(=O)C(NS(=O)(=O)N1CCC(c2ccc(Br)cc2)CC1)C(C)C.OCc1cccnc1>>COC(=O)C(C(C)C)N(Cc1cccnc1)S(=O)(=O)N1CCC(c2ccc(Br)cc2)CC1,[CH2:36]([CH2:35][CH2:34][CH3:33])[P:37]([CH2:42][CH2:43][CH2:44][CH3:45])[CH2:38][CH2:39][CH2:40][CH3:41].[CH:31]1=[N:26][CH:27]=[C:28]([CH:29]=[CH:30]1)[CH2:32][OH:46].[CH3:24][CH:23]([CH3:25])[CH:18]([C:19](=[O:20])[O:21][CH3:22])[NH:17][S:14](=[O:16])(=[O:15])[N:11]1[CH2:10][CH2:9][CH:8]([CH2:13][CH2:12]1)[C:5]2=[CH:4][CH:3]=[C:2]([CH:7]=[CH:6]2)[Br:1]>>[CH2:10]1[CH2:9][CH:8]([CH2:13][CH2:12][N:11]1[S:14](=[O:16])(=[O:15])[N:17]([CH:18]([C:19]([O:21][CH3:22])=[O:20])[CH:23]([CH3:24])[CH3:25])[CH2:32][C:28]=2[CH:29]=[CH:30][CH:31]=[N:26][CH:27]=2)[C:5]3=[CH:4][CH:3]=[C:2]([CH:7]=[CH:6]3)[Br:1],Golden_1484
CCOS(=O)(=O)OCC.Cc1ccc(S(=O)(=O)Nc2ccc(Cl)cc2[N+](=O)[O-])cc1.[Na+].[Na].[OH-]>>CCN(c1ccc(Cl)cc1[N+](=O)[O-])S(=O)(=O)c1ccc(C)cc1,[CH3:23][CH2:22][O:31][S:28](=[O:29])(=[O:30])[O:27][CH2:26][CH3:25].[O:8]=[S:7](=[O:9])([C:10]1=[CH:11][CH:12]=[C:13]([CH3:16])[CH:14]=[CH:15]1)[NH:6][C:5]=2[CH:17]=[CH:18][C:2]([Cl:1])=[CH:3][C:4]=2[N+:19]([O-:21])=[O:20].[Na+:33].[Na:24].[OH-:32]>>[O:8]=[S:7](=[O:9])([N:6]([CH2:22][CH3:23])[C:5]=1[CH:17]=[CH:18][C:2](=[CH:3][C:4]=1[N+:19](=[O:20])[O-:21])[Cl:1])[C:10]2=[CH:15][CH:14]=[C:13]([CH3:16])[CH:12]=[CH:11]2,Golden_1485
CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(NS(C)(=O)=O)c(Br)cc12.Cc1ccc(S(=O)(=O)OCCCF)cc1.O=C([O-])[O-].[K+].[K+]>>CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N(CCCF)S(C)(=O)=O)c(Br)cc12,[O:20]=[S:19](=[O:21])([NH:18][C:16]1=[CH:17][C:12]2=[C:13]([CH:14]=[C:15]1[Br:23])[C:9]([C:7]([NH:6][CH3:5])=[O:8])=[C:10]([O:11]2)[C:24]=3[CH:29]=[CH:28][C:27]([F:30])=[CH:26][CH:25]=3)[CH3:22].[O:39]=[S:38](=[O:40])([O:41][CH2:1][CH2:2][CH2:3][F:4])[C:35]=1[CH:36]=[CH:37][C:32](=[CH:33][CH:34]=1)[CH3:31].[K+:46].[K+:47].[O-:42][C:43]([O-:44])=[O:45]>>[O:20]=[S:19](=[O:21])([CH3:22])[N:18]([CH2:1][CH2:2][CH2:3][F:4])[C:16]1=[CH:17][C:12]2=[C:13]([CH:14]=[C:15]1[Br:23])[C:9](=[C:10]([C:24]=3[CH:29]=[CH:28][C:27]([F:30])=[CH:26][CH:25]=3)[O:11]2)[C:7]([NH:6][CH3:5])=[O:8],Golden_1486
C#Cc1ccc(F)cc1.CC(C)(C)[O-].CCN(CC)CC.Nc1ccc(S(=O)(=O)c2ccccc2)cc1I.[K+]>>O=S(=O)(c1ccccc1)c1ccc2[nH]c(-c3ccc(F)cc3)cc2c1,[CH2:32]([CH3:33])[N:29]([CH2:28][CH3:27])[CH2:30][CH3:31].[CH:23]1=[CH:22][C:21](=[CH:20][CH:19]=[C:18]1[F:17])[C:24]#[CH:25].[CH3:34][C:35]([CH3:36])([CH3:37])[O-:38].[O:8]=[S:7](=[O:9])([C:5]=1[CH:4]=[CH:3][C:2]([NH2:16])=[C:1]([I:26])[CH:6]=1)[C:10]=2[CH:15]=[CH:14][CH:13]=[CH:12][CH:11]=2.[K+:39]>>[O:8]=[S:7](=[O:9])([C:5]=1[CH:6]=[C:1]2[CH:25]=[C:24]([NH:16][C:2]2=[CH:3][CH:4]=1)[C:21]3=[CH:20][CH:19]=[C:18]([F:17])[CH:23]=[CH:22]3)[C:10]=4[CH:15]=[CH:14][CH:13]=[CH:12][CH:11]=4,Golden_1487
C#CCOC1COC2C(O[Si](C)(C)C(C)(C)C)COC12.Nc1ccc(Cl)nc1I>>CC(C)(C)[Si](C)(C)OC1COC2C(OCc3cc4nc(Cl)ccc4[nH]3)COC12,[C:22]=1([N:27]=[C:26]([I:29])[C:25](=[CH:24][CH:23]=1)[NH2:28])[Cl:21].[CH3:2][C:1]([CH3:3])([CH3:4])[Si:5]([CH3:19])([CH3:20])[O:6][CH:7]1[CH2:11][O:10][CH:9]2[CH:12]([O:15][CH2:16][C:17]#[CH:18])[CH2:13][O:14][CH:8]12>>[CH3:2][C:1]([CH3:3])([CH3:4])[Si:5]([CH3:19])([CH3:20])[O:6][CH:7]1[CH:8]2[O:14][CH2:13][CH:12]([O:15][CH2:16][C:17]3=[CH:18][C:26]4=[N:27][C:22](=[CH:23][CH:24]=[C:25]4[NH:28]3)[Cl:21])[CH:9]2[O:10][CH2:11]1,Golden_1488
CC[Si](C#CCCCC1(O)CCC(c2cccs2)(N(C)C)CC1)(CC)CC.Nc1ccccc1I.O=C([O-])[O-].[Na+].[Na+]>>CC[Si](CC)(CC)c1[nH]c2ccccc2c1CCCC1(O)CCC(c2cccs2)(N(C)C)CC1,[CH2:16]([CH3:17])[Si:15]([CH2:18][CH3:19])([CH2:20][CH3:21])[C:14]#[C:13][CH2:12][CH2:11][CH2:10][C:6]1([CH2:5][CH2:4][C:3]([CH2:8][CH2:7]1)([C:22]=2[S:23][CH:24]=[CH:25][CH:26]=2)[N:2]([CH3:27])[CH3:1])[OH:9].[C:28]=1([C:29]([NH2:30])=[CH:31][CH:32]=[CH:33][CH:34]=1)[I:35].[Na+:40].[Na+:41].[O-:36][C:37]([O-:38])=[O:39]>>[CH2:16]([CH3:17])[Si:15]([CH2:18][CH3:19])([CH2:20][CH3:21])[C:14]1=[C:13]([CH2:12][CH2:11][CH2:10][C:6]2([CH2:5][CH2:4][C:3]([CH2:8][CH2:7]2)([C:22]=3[S:23][CH:24]=[CH:25][CH:26]=3)[N:2]([CH3:27])[CH3:1])[OH:9])[C:28]=4[C:29]([NH:30]1)=[CH:31][CH:32]=[CH:33][CH:34]=4,Golden_1489
CC(=O)O.Cc1ccc(N)c(S)c1.O=Cc1ccncc1>>Cc1ccc2nc(-c3ccncc3)sc2c1,[C:18]([CH3:17])(=[O:20])[OH:19].[CH:15]1=[CH:14][C:13](=[CH:12][CH:11]=[N:10]1)[CH:16]=[O:21].[SH:9][C:3]1=[C:2]([CH:7]=[CH:6][C:5]([CH3:8])=[CH:4]1)[NH2:1]>>[C:5]1([CH3:8])=[CH:6][CH:7]=[C:2]2[N:1]=[C:16]([C:13]3=[CH:12][CH:11]=[N:10][CH:15]=[CH:14]3)[S:9][C:3]2=[CH:4]1,Golden_1490
CC(C)(C)C(=O)Nc1ccc(C=O)nc1Cl.CCOC(C)=O.CCOCOc1ccc(N)c(S)c1>>CCOCOc1ccc2nc(-c3ccc(NC(=O)C(C)(C)C)c(Cl)n3)sc2c1,[CH3:34][C:33](=[O:35])[O:32][CH2:31][CH3:30].[CH3:24][C:23]([CH3:25])([CH3:26])[C:22]([NH:21][C:20]1=[C:15]([Cl:14])[N:16]=[C:17]([CH:28]=[O:29])[CH:18]=[CH:19]1)=[O:27].[O:8]([C:5]1=[CH:4][C:3]([SH:13])=[C:2]([CH:7]=[CH:6]1)[NH2:1])[CH2:9][O:10][CH2:11][CH3:12]>>[CH3:24][C:23]([CH3:25])([CH3:26])[C:22](=[O:27])[NH:21][C:20]=1[CH:19]=[CH:18][C:17](=[N:16][C:15]=1[Cl:14])[C:28]2=[N:1][C:2]=3[C:3]([S:13]2)=[CH:4][C:5]([O:8][CH2:9][O:10][CH2:11][CH3:12])=[CH:6][CH:7]=3,Golden_1491
Nc1ccccc1S.O=Cc1ccc(O)c(Br)c1>>Oc1ccc(-c2nc3ccccc3s2)cc1Br,[C:10]1(=[C:16]([OH:17])[CH:15]=[CH:14][C:12](=[CH:11]1)[CH:13]=[O:18])[Br:9].[SH:8][C:3]1=[C:2]([CH:7]=[CH:6][CH:5]=[CH:4]1)[NH2:1]>>[C:12]1(=[CH:11][C:10]([Br:9])=[C:16]([OH:17])[CH:15]=[CH:14]1)[C:13]2=[N:1][C:2]3=[C:3]([CH:4]=[CH:5][CH:6]=[CH:7]3)[S:8]2,Golden_1492
CCOC(=O)C(O)=CC(=O)COC.Cl.Cl.NN.O.O=C([O-])O.[Na+]>>CCOC(=O)c1cc(COC)n[nH]1,[CH3:1][O:2][CH2:3][C:4](=[O:15])[CH:5]=[C:6]([C:7]([O:9][CH2:10][CH3:11])=[O:8])[OH:14].[ClH:16].[ClH:17].[NH2:12][NH2:13].[OH2:18].[Na+:23].[O-:22][C:20](=[O:21])[OH:19]>>[NH:13]1[N:12]=[C:4]([CH2:3][O:2][CH3:1])[CH:5]=[C:6]1[C:7](=[O:8])[O:9][CH2:10][CH3:11],Golden_1493
CC(=O)C=C(O)C(F)(F)F.Cl.NN.O>>Cc1cc(C(F)(F)F)n[nH]1,[ClH:14].[F:6][C:5]([F:8])([F:7])[C:4](=[CH:3][C:2]([CH3:1])=[O:11])[OH:12].[NH2:9][NH2:10].[OH2:13]>>[F:6][C:5]([F:8])([F:7])[C:4]1=[N:9][NH:10][C:2]([CH3:1])=[CH:3]1,Golden_1494
NN.O=C(C=C(O)C1CC1)C1CC1>>c1c(C2CC2)n[nH]c1C1CC1,[CH2:8]1[CH2:9][CH:7]1[C:6](=[O:13])[CH:5]=[C:4]([OH:12])[CH:1]2[CH2:2][CH2:3]2.[NH2:10][NH2:11]>>[CH2:2]1[CH2:3][CH:1]1[C:4]=2[CH:5]=[C:6]([NH:11][N:10]=2)[CH:7]3[CH2:8][CH2:9]3,Golden_1495
Cc1ccc(CCN)cc1.O=C([O-])[O-].O=Cc1ccccc1.[K+].[K+]>>Cc1ccc2c(c1)C(c1ccccc1)NCC2,[CH2:7]([CH2:8][NH2:9])[C:4]1=[CH:3][CH:2]=[C:1]([CH3:10])[CH:6]=[CH:5]1.[CH:15]=1[CH:16]=[CH:17][C:12](=[CH:13][CH:14]=1)[CH:11]=[O:18].[K+:23].[K+:24].[O-:19][C:20]([O-:21])=[O:22]>>[C:1]1([CH3:10])=[CH:2][CH:3]=[C:4]2[C:5]([CH:11]([C:12]=3[CH:17]=[CH:16][CH:15]=[CH:14][CH:13]=3)[NH:9][CH2:8][CH2:7]2)=[CH:6]1,Golden_1496
NCCc1c[nH]c2ccccc12.O=C(O)C(F)(F)F.O=Cc1ccc(F)c(F)c1>>Fc1ccc(C2NCCc3c2[nH]c2ccccc32)cc1F,[CH:5]1=[C:4]([C:12]2=[C:7]([CH:8]=[CH:9][CH:10]=[CH:11]2)[NH:6]1)[CH2:3][CH2:2][NH2:1].[CH:15]1=[C:16]([CH:18]=[CH:19][C:20]([F:21])=[C:14]1[F:13])[CH:17]=[O:22].[F:27][C:26]([F:28])([F:29])[C:24]([OH:23])=[O:25]>>[NH:1]1[CH:17]([C:5]=2[NH:6][C:7]3=[C:12]([CH:11]=[CH:10][CH:9]=[CH:8]3)[C:4]=2[CH2:3][CH2:2]1)[C:16]4=[CH:15][C:14]([F:13])=[C:20]([F:21])[CH:19]=[CH:18]4,Golden_1497
COc1ccc(C=O)cc1F.NCCc1c[nH]c2ccccc12.O=C(O)C(F)(F)F>>COc1ccc(C2NCCc3c2[nH]c2ccccc32)cc1F,[C:14]1(=[C:20]([O:21][CH3:22])[CH:19]=[CH:18][C:16](=[CH:15]1)[CH:17]=[O:23])[F:13].[CH:5]1=[C:4]([C:12]2=[C:7]([CH:8]=[CH:9][CH:10]=[CH:11]2)[NH:6]1)[CH2:3][CH2:2][NH2:1].[F:28][C:27]([F:29])([F:30])[C:25]([OH:24])=[O:26]>>[NH:1]1[CH:17]([C:5]=2[NH:6][C:7]3=[C:12]([CH:11]=[CH:10][CH:9]=[CH:8]3)[C:4]=2[CH2:3][CH2:2]1)[C:16]4=[CH:15][C:14]([F:13])=[C:20]([CH:19]=[CH:18]4)[O:21][CH3:22],Golden_1498
CCCCCCCBr.CCCCCCC[P+](c1ccccc1)(c1ccccc1)c1ccccc1.CCOC(=O)CCCC=O.[Br-].[Li]CCCC.c1ccc(P(c2ccccc2)c2ccccc2)cc1>>CCCCCCC=CCCCC(=O)OCC,[CH2:6]([CH2:7][Br:8])[CH2:5][CH2:4][CH2:3][CH2:2][CH3:1].[CH2:39]([CH2:40][CH:41]=[O:42])[CH2:38][C:36](=[O:37])[O:35][CH2:34][CH3:33].[CH2:31]([CH2:30][CH2:29][Li:28])[CH3:32].[CH:13]1=[CH:14][CH:9]=[CH:10][CH:11]=[C:12]1[P:15]([C:16]=2[CH:21]=[CH:20][CH:19]=[CH:18][CH:17]=2)[C:22]=3[CH:27]=[CH:26][CH:25]=[CH:24][CH:23]=3.[CH:68]=1[C:63](=[CH:64][CH:65]=[CH:66][CH:67]=1)[P+:50]([C:51]=2[CH:56]=[CH:55][CH:54]=[CH:53][CH:52]=2)([C:57]=3[CH:62]=[CH:61][CH:60]=[CH:59][CH:58]=3)[CH2:49][CH2:48][CH2:47][CH2:46][CH2:45][CH2:44][CH3:43].[Br-:69]>>[CH2:6]([CH2:5][CH2:4][CH2:3][CH2:2][CH3:1])[CH:7]=[CH:41][CH2:40][CH2:39][CH2:38][C:36]([O:35][CH2:34][CH3:33])=[O:37],Golden_1499
CC(C)(C)[Si](C)(C)OCCCCC=O.CCOC(=O)C=Cc1c(CBr)cccc1OCCCC(=O)OCC.c1ccc(P(c2ccccc2)c2ccccc2)cc1>>CCOC(=O)C=Cc1c(C=CCCCCO[Si](C)(C)C(C)(C)C)cccc1OCCCC(=O)OCC,[C:4]([O:3][CH2:1][CH3:2])(=[O:23])[CH2:5][CH2:6][CH2:7][O:8][C:9]=1[CH:14]=[CH:13][CH:12]=[C:11]([C:10]=1[CH:16]=[CH:17][C:18](=[O:19])[O:20][CH2:21][CH3:22])[CH2:15][Br:37].[CH:42]1=[CH:43][CH:38]=[CH:39][CH:40]=[C:41]1[P:44]([C:51]=2[CH:56]=[CH:55][CH:54]=[CH:53][CH:52]=2)[C:45]=3[CH:50]=[CH:49][CH:48]=[CH:47][CH:46]=3.[CH3:25][C:24]([CH3:26])([CH3:27])[Si:28]([CH3:35])([CH3:36])[O:29][CH2:30][CH2:31][CH2:32][CH2:33][CH:34]=[O:57]>>[CH3:25][C:24]([CH3:26])([CH3:27])[Si:28]([CH3:35])([CH3:36])[O:29][CH2:30][CH2:31][CH2:32][CH2:33][CH:34]=[CH:15][C:11]=1[C:10](=[C:9]([CH:14]=[CH:13][CH:12]=1)[O:8][CH2:7][CH2:6][CH2:5][C:4](=[O:23])[O:3][CH2:1][CH3:2])[CH:16]=[CH:17][C:18]([O:20][CH2:21][CH3:22])=[O:19],Golden_1500
CC(=O)c1ccc(Cl)cc1.ClCc1ccccc1>>CC(=Cc1ccccc1)c1ccc(Cl)cc1,[CH:14]=1[C:9]([Cl:8])=[CH:10][CH:11]=[C:12]([C:15](=[O:18])[CH3:16])[CH:13]=1.[Cl:17][CH2:1][C:2]1=[CH:3][CH:4]=[CH:5][CH:6]=[CH:7]1>>[CH:14]=1[C:9]([Cl:8])=[CH:10][CH:11]=[C:12]([C:15]([CH3:16])=[CH:1][C:2]=2[CH:7]=[CH:6][CH:5]=[CH:4][CH:3]=2)[CH:13]=1,Golden_1501
C1CN1.O=C(NCC(O)CO)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1Cl>>O=C(NCC(O)CO)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1N1CC1,[CH2:22]1[CH2:23][NH:21]1.[N+:15](=[O:16])([C:14]1=[CH:13][C:12]([N+:18]([O-:20])=[O:19])=[CH:11][C:2]([C:3](=[O:4])[NH:5][CH2:6][CH:7]([CH2:8][OH:9])[OH:10])=[C:1]1[Cl:24])[O-:17]>>[CH2:22]1[CH2:23][N:21]1[C:1]=2[C:14]([N+:15]([O-:17])=[O:16])=[CH:13][C:12]([N+:18](=[O:19])[O-:20])=[CH:11][C:2]=2[C:3]([NH:5][CH2:6][CH:7]([OH:10])[CH2:8][OH:9])=[O:4],Golden_1502
CN.O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1.[Na+].[OH-]>>CNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],[CH3:13][NH2:14].[N+:1](=[O:2])([O-:3])[C:4]1=[CH:9][C:8]([N+:10]([O-:12])=[O:11])=[CH:7][CH:6]=[C:5]1[Cl:15].[Na+:17].[OH-:16]>>[O-:12][N+:10](=[O:11])[C:8]1=[CH:9][C:4](=[C:5]([NH:14][CH3:13])[CH:6]=[CH:7]1)[N+:1](=[O:2])[O-:3],Golden_1503
C1CN1.O=C(NCC(O)CO)c1cc(Cl)c([N+](=O)[O-])cc1[N+](=O)[O-]>>O=C(NCC(O)CO)c1cc(N2CC2)c([N+](=O)[O-])cc1[N+](=O)[O-],[CH2:22]1[CH2:23][NH:21]1.[N+:12](=[O:13])([O-:14])[C:9]=1[C:10]([Cl:24])=[CH:11][C:6](=[C:7]([N+:15](=[O:16])[O-:17])[CH:8]=1)[C:5](=[O:18])[NH:4][CH2:3][CH:2]([CH2:19][OH:20])[OH:1]>>[CH2:22]1[CH2:23][N:21]1[C:10]=2[C:9](=[CH:8][C:7](=[C:6]([CH:11]=2)[C:5]([NH:4][CH2:3][CH:2]([CH2:19][OH:20])[OH:1])=[O:18])[N+:15]([O-:17])=[O:16])[N+:12](=[O:13])[O-:14],Golden_1504
CCCc1c(O)ccc(C(C)=O)c1O.CCCc1c(OCCCC(=O)OCC)ccc(C(C)=O)c1OCCOCCOCCOCCBr.O=C([O-])[O-].[K+].[K+]>>CCCc1c(OCCOCCOCCOCCOc2c(C(C)=O)ccc(OCCCC(=O)OCC)c2CCC)ccc(C(C)=O)c1O,[CH2:33]([CH2:34][O:35][CH2:36][CH2:37][O:38][CH2:39][CH2:40][O:41][CH2:42][CH2:43][Br:48])[O:32][C:25]1=[C:26]([CH:27]=[CH:28][C:23]([O:22][CH2:21][CH2:20][CH2:19][C:18](=[O:47])[O:17][CH2:15][CH3:16])=[C:24]1[CH2:44][CH2:45][CH3:46])[C:29]([CH3:30])=[O:31].[C:7]1(=[C:2]([OH:1])[C:3]([C:12](=[O:14])[CH3:13])=[CH:4][CH:5]=[C:6]1[OH:11])[CH2:8][CH2:9][CH3:10].[K+:53].[K+:54].[O-:49][C:50]([O-:51])=[O:52]>>[CH2:15]([CH3:16])[O:17][C:18]([CH2:19][CH2:20][CH2:21][O:22][C:23]1=[CH:28][CH:27]=[C:26]([C:29](=[O:31])[CH3:30])[C:25]([O:32][CH2:33][CH2:34][O:35][CH2:36][CH2:37][O:38][CH2:39][CH2:40][O:41][CH2:42][CH2:43][O:11][C:6]2=[CH:5][CH:4]=[C:3]([C:2](=[C:7]2[CH2:8][CH2:9][CH3:10])[OH:1])[C:12](=[O:14])[CH3:13])=[C:24]1[CH2:44][CH2:45][CH3:46])=[O:47],Golden_1505
COCCOCCOCCBr.COc1cc(N)cc(O)c1.O=C([O-])[O-].[I-].[K+].[K+].[Na+]>>COCCOCCOCCOc1cc(N)cc(OC)c1,[CH2:15]([CH2:14][O:13][CH2:12][CH2:11][Br:27])[O:16][CH2:17][CH2:18][O:19][CH3:20].[C:6]=1([CH:5]=[C:4]([CH:3]=[C:2]([CH:7]=1)[NH2:1])[OH:10])[O:8][CH3:9].[I-:28].[K+:25].[K+:26].[Na+:29].[O-:21][C:22]([O-:23])=[O:24]>>[O:8]([C:6]1=[CH:7][C:2](=[CH:3][C:4](=[CH:5]1)[O:10][CH2:11][CH2:12][O:13][CH2:14][CH2:15][O:16][CH2:17][CH2:18][O:19][CH3:20])[NH2:1])[CH3:9],Golden_1506
CN(C)c1cc(O)cc([N+](=O)[O-])c1.COCCOCCOCCBr.O=C([O-])[O-].[K+].[K+]>>COCCOCCOCCOc1cc(N(C)C)cc([N+](=O)[O-])c1,[CH2:18]([CH2:17][O:16][CH2:15][CH2:14][Br:24])[O:19][CH2:20][CH2:21][O:22][CH3:23].[CH3:1][N:2]([CH3:13])[C:3]1=[CH:8][C:7](=[CH:6][C:5]([OH:12])=[CH:4]1)[N+:9](=[O:10])[O-:11].[K+:29].[K+:30].[O-:25][C:26]([O-:27])=[O:28]>>[CH3:1][N:2]([CH3:13])[C:3]=1[CH:4]=[C:5]([O:12][CH2:14][CH2:15][O:16][CH2:17][CH2:18][O:19][CH2:20][CH2:21][O:22][CH3:23])[CH:6]=[C:7]([N+:9]([O-:11])=[O:10])[CH:8]=1,Golden_1507
C1CCNC1.CC(C)(C)OC(=O)N1CCC(=O)CC1.COc1ccc(O)c(C(C)=O)c1>>COc1ccc2c(c1)C(=O)CC1(CCN(C(=O)OC(C)(C)C)CC1)O2,[CH2:29]1[CH2:28][CH2:27][CH2:31][NH:30]1.[CH3:23][C:22]([CH3:24])([CH3:25])[O:21][C:19](=[O:20])[N:16]1[CH2:17][CH2:18][C:13]([CH2:14][CH2:15]1)=[O:26].[O:12]=[C:10]([CH3:11])[C:3]1=[C:2]([OH:1])[CH:7]=[CH:6][C:5]([O:8][CH3:9])=[CH:4]1>>[CH3:23][C:22]([CH3:24])([CH3:25])[O:21][C:19](=[O:20])[N:16]1[CH2:17][CH2:18][C:13]2([CH2:14][CH2:15]1)[CH2:11][C:10]([C:3]3=[CH:4][C:5]([O:8][CH3:9])=[CH:6][CH:7]=[C:2]3[O:1]2)=[O:12],Golden_1508
C1CCNC1.CC(=O)c1ccccc1O.O=C1CCN(C(=O)c2ccccc2)CC1>>O=C1CC2(CCN(C(=O)c3ccccc3)CC2)Oc2ccccc21,[CH2:20]1[CH2:21][C:22]([CH2:23][CH2:24][N:19]1[C:11](=[O:18])[C:12]=2[CH:17]=[CH:16][CH:15]=[CH:14][CH:13]=2)=[O:25].[CH2:28]1[CH2:27][CH2:26][CH2:30][NH:29]1.[C:5]=1([CH:6]=[CH:7][CH:8]=[CH:9][C:4]=1[C:1]([CH3:2])=[O:3])[OH:10]>>[CH2:20]1[CH2:21][C:22]2([CH2:23][CH2:24][N:19]1[C:11](=[O:18])[C:12]3=[CH:13][CH:14]=[CH:15][CH:16]=[CH:17]3)[CH2:2][C:1](=[O:3])[C:4]=4[CH:9]=[CH:8][CH:7]=[CH:6][C:5]=4[O:10]2,Golden_1509
C1CCNC1.COc1ccc(O)c(C(C)=O)c1.O=C1CCN(C(=O)c2ccccc2)CC1>>COc1ccc2c(c1)C(=O)CC1(CCN(C(=O)c3ccccc3)CC1)O2,[CH2:22]1[CH2:23][C:24]([CH2:25][CH2:26][N:21]1[C:13](=[O:20])[C:14]=2[CH:19]=[CH:18][CH:17]=[CH:16][CH:15]=2)=[O:32].[CH2:29]1[CH2:28][CH2:27][CH2:31][NH:30]1.[O:12]=[C:10]([CH3:11])[C:3]1=[C:2]([OH:1])[CH:7]=[CH:6][C:5]([O:8][CH3:9])=[CH:4]1>>[CH2:23]1[CH2:22][N:21]([CH2:26][CH2:25][C:24]12[O:1][C:2]3=[C:3]([C:10](=[O:12])[CH2:11]2)[CH:4]=[C:5]([CH:6]=[CH:7]3)[O:8][CH3:9])[C:13](=[O:20])[C:14]=4[CH:19]=[CH:18][CH:17]=[CH:16][CH:15]=4,Golden_1510
